blm_category,missing_id
biolink:Disease,UMLS:C5205621
biolink:Disease,UMLS:C5396406
biolink:Disease,UMLS:C5392098
biolink:Disease,UMLS:C5208350
biolink:Disease,UMLS:C5239059
biolink:Disease,UMLS:C5225748
biolink:Disease,UMLS:C5392076
biolink:Disease,UMLS:C5205581
biolink:Disease,UMLS:C5206722
biolink:Disease,UMLS:C5204617
biolink:Disease,UMLS:C5206668
biolink:Disease,UMLS:C5205699
biolink:Disease,UMLS:C5392235
biolink:Disease,UMLS:C5230640
biolink:Disease,UMLS:C5239046
biolink:Disease,UMLS:C5206600
biolink:Disease,UMLS:C5230587
biolink:Disease,UMLS:C5392073
biolink:Disease,UMLS:C5229856
biolink:Disease,UMLS:C5239396
biolink:Disease,UMLS:C5230539
biolink:Disease,UMLS:C5397687
biolink:Disease,UMLS:C5226160
biolink:Disease,UMLS:C5206798
biolink:Disease,UMLS:C5231456
biolink:Disease,UMLS:C5394830
biolink:Disease,UMLS:C5392066
biolink:Disease,UMLS:C5392961
biolink:Disease,UMLS:C5238388
biolink:Disease,UMLS:C5395209
biolink:Disease,UMLS:C5394546
biolink:Disease,UMLS:C5397690
biolink:Disease,UMLS:C5232269
biolink:Disease,UMLS:C5202818
biolink:Disease,UMLS:C5206681
biolink:Disease,UMLS:C5395203
biolink:Disease,UMLS:C5204786
biolink:Disease,UMLS:C5243499
biolink:Disease,UMLS:C5231429
biolink:Disease,UMLS:C5208370
biolink:Disease,UMLS:C5205659
biolink:Disease,UMLS:C5231424
biolink:Disease,UMLS:C5395245
biolink:Disease,UMLS:C5237003
biolink:Disease,UMLS:C5396649
biolink:Disease,UMLS:C5230993
biolink:Disease,UMLS:C5395207
biolink:Disease,UMLS:C5206941
biolink:Disease,UMLS:C5237429
biolink:Disease,UMLS:C5230917
biolink:Disease,UMLS:C5395872
biolink:Disease,UMLS:C5239294
biolink:Disease,UMLS:C5239115
biolink:Disease,UMLS:C5204785
biolink:Disease,UMLS:C5392078
biolink:Disease,UMLS:C5235894
biolink:Disease,UMLS:C5391331
biolink:Disease,UMLS:C5206946
biolink:Disease,UMLS:C5396943
biolink:Disease,UMLS:C5237418
biolink:Disease,UMLS:C5237457
biolink:Disease,UMLS:C5237029
biolink:Disease,UMLS:C5203917
biolink:Disease,UMLS:C5397688
biolink:Disease,UMLS:C5237322
biolink:Disease,UMLS:C5237751
biolink:Disease,UMLS:C5243475
biolink:Disease,UMLS:C5206559
biolink:Disease,UMLS:C5397654
biolink:Disease,UMLS:C5231255
biolink:Disease,UMLS:C5203918
biolink:Disease,UMLS:C1997329
biolink:Disease,UMLS:C5397673
biolink:Disease,UMLS:C5396958
biolink:Disease,UMLS:C5204532
biolink:Disease,UMLS:C0559831
biolink:Disease,UMLS:C5230298
biolink:Disease,UMLS:C5206250
biolink:Disease,UMLS:C5206572
biolink:Disease,UMLS:C5204451
